"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"ui","2","0xa84d2c","0x10","stl-vector","ui.invasions.list","invasion_info*","goblins..."
"ui","2","0xa84d3c","0x4","int32_t","ui.invasions.next_id","",""
"ui","1","0xa84d40","0x10","stl-vector","ui.crimes","ui::anon3*",""
"ui","1","0xa84d50","0x10","stl-vector","ui.punishments","ui::anon4*",""
"ui","1","0xa84d60","0x10","stl-vector","ui.pet_meetings","meeting_pet*",""
"ui","1","0xa84d70","0x10","stl-vector","ui.parties","party_info*",""
"ui","1","0xa84d80","0x10","stl-vector","ui.unk235c","padding*",""
"ui","1","0xa84d90","0x10","stl-vector","ui.dipscripts","dipscript_info*",""
"ui","1","0xa84da0","0x10","stl-vector","ui.unk2374","padding*",""
"ui","1","0xa84db0","0x50","compound","ui.kitchen","",""
"ui","2","0xa84db0","0x10","stl-vector","ui.kitchen.item_types","item_type",""
"ui","2","0xa84dc0","0x10","stl-vector","ui.kitchen.item_subtypes","int16_t",""
"ui","2","0xa84dd0","0x10","stl-vector","ui.kitchen.mat_types","material_type",""
"ui","2","0xa84de0","0x10","stl-vector","ui.kitchen.mat_glosses","int16_t",""
"ui","2","0xa84df0","0x10","stl-vector","ui.kitchen.exc_types","int8_t",""
"ui","1","0xa84e00","0x10","stl-vector","ui.economic_stone","bool",""
"ui","1","0xa84e10","0x4","padding","ui","",""
"ui","1","0xa84e14","0x2","int16_t","ui.unk23cc","",""
"ui","1","0xa84e16","0x2","int16_t","ui.unk23ce","",""
"ui","1","0xa84e18","0x4","int32_t","ui.civ_id","",""
"ui","1","0xa84e1c","0x4","int32_t","ui.site_id","",""
"ui","1","0xa84e20","0x4","int32_t","ui.group_id","","i.e. specifically the fortress dwarves"
"ui","1","0xa84e24","0x4","int32_t","ui.race_id","",""
"ui","1","0xa84e28","0x10","stl-vector","ui.unk23e0","int16_t",""
"ui","1","0xa84e38","0x10","stl-vector","ui.unk23ec","int8_t",""
"ui","1","0xa84e48","0x3c0","static-array","ui.unk23f8","ui::anon5",""
"ui","2","0xa84e48","0x1e0","static-array","ui.unk23f8[0]","ui::anon6",""
"ui","3","0xa84e48","0x10","stl-vector","ui.unk23f8[0][0]","int32_t",""
"ui","3","0xa84e58","0x10","stl-vector","ui.unk23f8[0][1]","int32_t",""
"ui","3","0xa84e68","0x10","stl-vector","ui.unk23f8[0][2]","int32_t",""
"ui","3","0xa84e78","0x10","stl-vector","ui.unk23f8[0][3]","int32_t",""
"ui","3","0xa84e88","0x10","stl-vector","ui.unk23f8[0][4]","int32_t",""
"ui","3","0xa84e98","0x10","stl-vector","ui.unk23f8[0][5]","int32_t",""
"ui","3","0xa84ea8","0x10","stl-vector","ui.unk23f8[0][6]","int32_t",""
"ui","3","0xa84eb8","0x10","stl-vector","ui.unk23f8[0][7]","int32_t",""
"ui","3","0xa84ec8","0x10","stl-vector","ui.unk23f8[0][8]","int32_t",""
"ui","3","0xa84ed8","0x10","stl-vector","ui.unk23f8[0][9]","int32_t",""
"ui","3","0xa84ee8","0x10","stl-vector","ui.unk23f8[0][10]","int32_t",""
"ui","3","0xa84ef8","0x10","stl-vector","ui.unk23f8[0][11]","int32_t",""
"ui","3","0xa84f08","0x10","stl-vector","ui.unk23f8[0][12]","int32_t",""
"ui","3","0xa84f18","0x10","stl-vector","ui.unk23f8[0][13]","int32_t",""
"ui","3","0xa84f28","0x10","stl-vector","ui.unk23f8[0][14]","int32_t",""
"ui","3","0xa84f38","0x10","stl-vector","ui.unk23f8[0][15]","int32_t",""
"ui","3","0xa84f48","0x10","stl-vector","ui.unk23f8[0][16]","int32_t",""
"ui","3","0xa84f58","0x10","stl-vector","ui.unk23f8[0][17]","int32_t",""
"ui","3","0xa84f68","0x10","stl-vector","ui.unk23f8[0][18]","int32_t",""
"ui","3","0xa84f78","0x10","stl-vector","ui.unk23f8[0][19]","int32_t",""
"ui","3","0xa84f88","0x10","stl-vector","ui.unk23f8[0][20]","int32_t",""
"ui","3","0xa84f98","0x10","stl-vector","ui.unk23f8[0][21]","int32_t",""
"ui","3","0xa84fa8","0x10","stl-vector","ui.unk23f8[0][22]","int32_t",""
"ui","3","0xa84fb8","0x10","stl-vector","ui.unk23f8[0][23]","int32_t",""
"ui","3","0xa84fc8","0x10","stl-vector","ui.unk23f8[0][24]","int32_t",""
"ui","3","0xa84fd8","0x10","stl-vector","ui.unk23f8[0][25]","int32_t",""
"ui","3","0xa84fe8","0x10","stl-vector","ui.unk23f8[0][26]","int32_t",""
"ui","3","0xa84ff8","0x10","stl-vector","ui.unk23f8[0][27]","int32_t",""
"ui","3","0xa85008","0x10","stl-vector","ui.unk23f8[0][28]","int32_t",""
"ui","3","0xa85018","0x10","stl-vector","ui.unk23f8[0][29]","int32_t",""
"ui","2","0xa85028","0x1e0","static-array","ui.unk23f8[1]","ui::anon7",""
"ui","3","0xa85028","0x10","stl-vector","ui.unk23f8[1][0]","int32_t",""
"ui","3","0xa85038","0x10","stl-vector","ui.unk23f8[1][1]","int32_t",""
"ui","3","0xa85048","0x10","stl-vector","ui.unk23f8[1][2]","int32_t",""
"ui","3","0xa85058","0x10","stl-vector","ui.unk23f8[1][3]","int32_t",""
"ui","3","0xa85068","0x10","stl-vector","ui.unk23f8[1][4]","int32_t",""
"ui","3","0xa85078","0x10","stl-vector","ui.unk23f8[1][5]","int32_t",""
"ui","3","0xa85088","0x10","stl-vector","ui.unk23f8[1][6]","int32_t",""
"ui","3","0xa85098","0x10","stl-vector","ui.unk23f8[1][7]","int32_t",""
"ui","3","0xa850a8","0x10","stl-vector","ui.unk23f8[1][8]","int32_t",""
"ui","3","0xa850b8","0x10","stl-vector","ui.unk23f8[1][9]","int32_t",""
"ui","3","0xa850c8","0x10","stl-vector","ui.unk23f8[1][10]","int32_t",""
"ui","3","0xa850d8","0x10","stl-vector","ui.unk23f8[1][11]","int32_t",""
"ui","3","0xa850e8","0x10","stl-vector","ui.unk23f8[1][12]","int32_t",""
"ui","3","0xa850f8","0x10","stl-vector","ui.unk23f8[1][13]","int32_t",""
"ui","3","0xa85108","0x10","stl-vector","ui.unk23f8[1][14]","int32_t",""
"ui","3","0xa85118","0x10","stl-vector","ui.unk23f8[1][15]","int32_t",""
"ui","3","0xa85128","0x10","stl-vector","ui.unk23f8[1][16]","int32_t",""
"ui","3","0xa85138","0x10","stl-vector","ui.unk23f8[1][17]","int32_t",""
"ui","3","0xa85148","0x10","stl-vector","ui.unk23f8[1][18]","int32_t",""
"ui","3","0xa85158","0x10","stl-vector","ui.unk23f8[1][19]","int32_t",""
"ui","3","0xa85168","0x10","stl-vector","ui.unk23f8[1][20]","int32_t",""
"ui","3","0xa85178","0x10","stl-vector","ui.unk23f8[1][21]","int32_t",""
"ui","3","0xa85188","0x10","stl-vector","ui.unk23f8[1][22]","int32_t",""
"ui","3","0xa85198","0x10","stl-vector","ui.unk23f8[1][23]","int32_t",""
"ui","3","0xa851a8","0x10","stl-vector","ui.unk23f8[1][24]","int32_t",""
"ui","3","0xa851b8","0x10","stl-vector","ui.unk23f8[1][25]","int32_t",""
"ui","3","0xa851c8","0x10","stl-vector","ui.unk23f8[1][26]","int32_t",""
"ui","3","0xa851d8","0x10","stl-vector","ui.unk23f8[1][27]","int32_t",""
"ui","3","0xa851e8","0x10","stl-vector","ui.unk23f8[1][28]","int32_t",""
"ui","3","0xa851f8","0x10","stl-vector","ui.unk23f8[1][29]","int32_t",""
"ui","1","0xa85208","0x308","compound","ui.stockpile","",""
"ui","2","0xa85208","0x4","int32_t","ui.stockpile.reserved_bins","",""
"ui","2","0xa8520c","0x4","int32_t","ui.stockpile.reserved_barrels","",""
"ui","2","0xa85210","0x300","struct-type","ui.stockpile.custom_settings","",""
"ui","3","0xa85210","0x4","bitfield","ui.stockpile.custom_settings.flags","",""
"ui","4","0xa85210","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.animals","",""
"ui","4","0xa85210.1","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.food","",""
"ui","4","0xa85210.2","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.furniture","",""
"ui","4","0xa85210.3","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.graveyard","",""
"ui","4","0xa85210.4","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.refuse","",""
"ui","4","0xa85210.5","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.stone","",""
"ui","4","0xa85210.6","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.ore","",""
"ui","4","0xa85210.7","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.ammo","",""
"ui","4","0xa85211","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.coins","",""
"ui","4","0xa85211.1","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.bars","",""
"ui","4","0xa85211.2","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.gems","",""
"ui","4","0xa85211.3","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.goods","",""
"ui","4","0xa85211.4","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.leather","",""
"ui","4","0xa85211.5","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.cloth","",""
"ui","4","0xa85211.6","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.wood","",""
"ui","4","0xa85211.7","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.weapons","",""
"ui","4","0xa85212","0x0.1","flag-bit","ui.stockpile.custom_settings.flags.armor","",""
"ui","3","0xa85214","0x14","compound","ui.stockpile.custom_settings.animals","",""
"ui","4","0xa85214","0x1","bool","ui.stockpile.custom_settings.animals.animals_empty_cages","",""
"ui","4","0xa85215","0x1","bool","ui.stockpile.custom_settings.animals.animals_empty_traps","",""
"ui","4","0xa85218","0x10","stl-vector","ui.stockpile.custom_settings.animals.enabled","bool",""
"ui","3","0xa85228","0xf4","compound","ui.stockpile.custom_settings.food","",""
"ui","4","0xa85228","0xf0","struct-type","ui.stockpile.custom_settings.food.type","",""
"ui","5","0xa85228","0x10","stl-vector","ui.stockpile.custom_settings.food.type.meat_fish","bool",""
"ui","5","0xa85238","0x10","stl-vector","ui.stockpile.custom_settings.food.type.unprepared_fish","bool",""
"ui","5","0xa85248","0x10","stl-vector","ui.stockpile.custom_settings.food.type.plants","bool",""
"ui","5","0xa85258","0x10","stl-vector","ui.stockpile.custom_settings.food.type.drink_plant","bool",""
"ui","5","0xa85268","0x10","stl-vector","ui.stockpile.custom_settings.food.type.drink_animal","bool",""
"ui","5","0xa85278","0x10","stl-vector","ui.stockpile.custom_settings.food.type.cheese_plant","bool",""
"ui","5","0xa85288","0x10","stl-vector","ui.stockpile.custom_settings.food.type.cheese_animal","bool",""
"ui","5","0xa85298","0x10","stl-vector","ui.stockpile.custom_settings.food.type.seeds","bool",""
"ui","5","0xa852a8","0x10","stl-vector","ui.stockpile.custom_settings.food.type.leaves","bool",""
"ui","5","0xa852b8","0x10","stl-vector","ui.stockpile.custom_settings.food.type.powder_plant","bool",""
"ui","5","0xa852c8","0x10","stl-vector","ui.stockpile.custom_settings.food.type.powder_animal","bool",""
"ui","5","0xa852d8","0x10","stl-vector","ui.stockpile.custom_settings.food.type.glob","bool",""
"ui","5","0xa852e8","0x10","stl-vector","ui.stockpile.custom_settings.food.type.extract_plant","bool",""
"ui","5","0xa852f8","0x10","stl-vector","ui.stockpile.custom_settings.food.type.extract_animal","bool",""
"ui","5","0xa85308","0x10","stl-vector","ui.stockpile.custom_settings.food.type.liquid_misc","bool",""
"ui","4","0xa85318","0x1","bool","ui.stockpile.custom_settings.food.prepared_meals","",""
"ui","3","0xa8531c","0x24","compound","ui.stockpile.custom_settings.furniture","",""
"ui","4","0xa8531c","0x10","stl-vector","ui.stockpile.custom_settings.furniture.type","bool",""
"ui","4","0xa8532c","0x10","stl-vector","ui.stockpile.custom_settings.furniture.mats","bool",""
"ui","4","0xa8533c","0x1","bool","ui.stockpile.custom_settings.furniture.sand_bags","",""
"ui","3","0xa85340","0x4","int32_t","ui.stockpile.custom_settings","",""
"ui","3","0xa85344","0x10","compound","ui.stockpile.custom_settings.refuse","",""
"ui","4","0xa85344","0x10","stl-vector","ui.stockpile.custom_settings.refuse.type","bool",""
"ui","3","0xa85354","0x10","stl-vector","ui.stockpile.custom_settings.stone","bool",""
"ui","3","0xa85364","0x10","stl-vector","ui.stockpile.custom_settings.ore","bool",""
"ui","3","0xa85374","0x20","compound","ui.stockpile.custom_settings.ammo","",""
"ui","4","0xa85374","0x10","stl-vector","ui.stockpile.custom_settings.ammo.type","bool",""
"ui","4","0xa85384","0x10","stl-vector","ui.stockpile.custom_settings.ammo.mats","bool",""
"ui","3","0xa85394","0x10","stl-vector","ui.stockpile.custom_settings.coins","bool",""
"ui","3","0xa853a4","0x10","stl-vector","ui.stockpile.custom_settings.bars_mats","bool",""
"ui","3","0xa853b4","0x10","stl-vector","ui.stockpile.custom_settings.blocks_mats","bool",""
"ui","3","0xa853c4","0x20","compound","ui.stockpile.custom_settings.gems","",""
"ui","4","0xa853c4","0x10","stl-vector","ui.stockpile.custom_settings.gems.rough_mats","bool",""
"ui","4","0xa853d4","0x10","stl-vector","ui.stockpile.custom_settings.gems.cut_mats","bool",""
"ui","3","0xa853e4","0x20","compound","ui.stockpile.custom_settings.finished_goods","",""
"ui","4","0xa853e4","0x10","stl-vector","ui.stockpile.custom_settings.finished_goods.type","bool",""
"ui","4","0xa853f4","0x10","stl-vector","ui.stockpile.custom_settings.finished_goods.mats","bool",""
"ui","3","0xa85404","0x10","stl-vector","ui.stockpile.custom_settings.leather","bool",""
"ui","3","0xa85414","0x44","compound","ui.stockpile.custom_settings.cloth","",""
"ui","4","0xa85414","0x10","stl-vector","ui.stockpile.custom_settings.cloth.thread_silk","bool",""
"ui","4","0xa85424","0x10","stl-vector","ui.stockpile.custom_settings.cloth.thread_plant","bool",""
"ui","4","0xa85434","0x10","stl-vector","ui.stockpile.custom_settings.cloth.cloth_silk","bool",""
